	userid	otheruserid	dt	liked
311	567594	168532	2017-08-15T21:40:02.0000000	False
312	567594	556960	2017-08-15T21:40:01.0000000	True
313	629421	637548	2017-08-15T21:40:01.0000000	True
314	437168	624560	2017-08-15T21:40:01.0000000	False
315	437168	556608	2017-08-15T21:40:01.0000000	True
316	629421	151254	2017-08-15T21:40:01.0000000	False
317	629421	634619	2017-08-15T21:40:01.0000000	False
318	629421	602584	2017-08-15T21:40:01.0000000	False
319	629421	613700	2017-08-15T21:40:01.0000000	False
320	640865	524809	2017-08-15T21:40:01.0000000	False
321	640865	569284	2017-08-15T21:40:01.0000000	False
322	640865	522969	2017-08-15T21:40:01.0000000	False
323	640865	616253	2017-08-15T21:40:01.0000000	False
324	636563	502947	2017-08-15T21:40:01.0000000	True
325	640865	488987	2017-08-15T21:40:01.0000000	True
326	640818	609906	2017-08-15T21:40:00.0000000	False
327	640818	577732	2017-08-15T21:40:00.0000000	False
328	437168	44348	2017-08-15T21:40:00.0000000	True
329	640818	576952	2017-08-15T21:40:00.0000000	True
330	495140	639527	2017-08-15T21:40:00.0000000	True
331	640704	571203	2017-08-15T21:39:59.0000000	True
332	567594	611244	2017-08-15T21:39:59.0000000	True
333	640713	601475	2017-08-15T21:39:58.0000000	True
334	640713	633001	2017-08-15T21:39:58.0000000	False
335	636821	519749	2017-08-15T21:39:57.0000000	True
336	640818	591051	2017-08-15T21:39:57.0000000	False
337	640818	607123	2017-08-15T21:39:57.0000000	False
338	640818	584669	2017-08-15T21:39:57.0000000	True
339	640818	103221	2017-08-15T21:39:57.0000000	False
340	567594	487027	2017-08-15T21:39:56.0000000	False
341	567594	640639	2017-08-15T21:39:56.0000000	False
342	567594	614241	2017-08-15T21:39:56.0000000	False
343	629421	636895	2017-08-15T21:39:54.0000000	False
344	629421	591719	2017-08-15T21:39:54.0000000	False
345	629421	630903	2017-08-15T21:39:54.0000000	False
346	629421	633909	2017-08-15T21:39:54.0000000	False
347	629421	634683	2017-08-15T21:39:54.0000000	False
348	640896	585628	2017-08-15T21:39:54.0000000	True
349	629421	525400	2017-08-15T21:39:54.0000000	True
