	sender_userid	recipient_userid	dt
467	437329	399089	2017-08-16T13:29:45.0000000
468	637160	234253	2017-08-16T13:29:44.0000000
469	551351	641864	2017-08-16T13:29:39.0000000
470	637160	234253	2017-08-16T13:29:39.0000000
471	562865	640878	2017-08-16T13:29:39.0000000
472	603328	624504	2017-08-16T13:29:35.0000000
473	209530	640983	2017-08-16T13:29:28.0000000
474	139488	389734	2017-08-16T13:29:25.0000000
475	637160	540010	2017-08-16T13:29:23.0000000
476	556947	639857	2017-08-16T13:29:21.0000000
477	239904	434426	2017-08-16T13:29:20.0000000
478	87386	639138	2017-08-16T13:29:15.0000000
479	139488	389734	2017-08-16T13:29:15.0000000
480	87386	639138	2017-08-16T13:29:10.0000000
481	637160	28	2017-08-16T13:29:07.0000000
482	554297	639527	2017-08-16T13:29:01.0000000
483	576003	509219	2017-08-16T13:29:01.0000000
484	576003	509219	2017-08-16T13:28:53.0000000
485	546013	637160	2017-08-16T13:28:51.0000000
486	399089	437329	2017-08-16T13:28:48.0000000
487	546013	637160	2017-08-16T13:28:48.0000000
488	576003	509219	2017-08-16T13:28:40.0000000
489	584550	592286	2017-08-16T13:28:18.0000000
490	587220	640542	2017-08-16T13:28:13.0000000
491	587220	640542	2017-08-16T13:28:07.0000000
492	631702	379432	2017-08-16T13:28:06.0000000
493	639527	565325	2017-08-16T13:27:39.0000000
494	639527	565325	2017-08-16T13:27:39.0000000
495	540260	606450	2017-08-16T13:27:37.0000000
496	619850	641343	2017-08-16T13:27:34.0000000
497	624272	639044	2017-08-16T13:27:31.0000000
498	389734	139488	2017-08-16T13:27:22.0000000
499	546626	640090	2017-08-16T13:27:21.0000000
500	441278	640488	2017-08-16T13:27:18.0000000
501	531643	609612	2017-08-16T13:27:16.0000000
502	79162	611103	2017-08-16T13:27:10.0000000
503	79162	611103	2017-08-16T13:27:08.0000000
504	99443	639138	2017-08-16T13:27:05.0000000
505	576003	509219	2017-08-16T13:27:05.0000000
506	437329	399089	2017-08-16T13:26:57.0000000
507	631261	640488	2017-08-16T13:26:46.0000000
508	509219	576003	2017-08-16T13:26:42.0000000
509	562865	640604	2017-08-16T13:26:37.0000000
510	99443	639138	2017-08-16T13:26:30.0000000
511	619850	624875	2017-08-16T13:26:28.0000000
512	628497	559791	2017-08-16T13:26:25.0000000
513	584895	639138	2017-08-16T13:26:25.0000000
514	509219	576003	2017-08-16T13:26:24.0000000
515	562865	500655	2017-08-16T13:26:17.0000000
516	641091	601952	2017-08-16T13:26:12.0000000
517	628497	582089	2017-08-16T13:26:12.0000000
518	628497	491614	2017-08-16T13:26:04.0000000
519	562865	500655	2017-08-16T13:26:03.0000000
520	639138	584895	2017-08-16T13:26:01.0000000
521	509219	576003	2017-08-16T13:26:00.0000000
522	632457	641864	2017-08-16T13:26:00.0000000
523	562865	623031	2017-08-16T13:25:56.0000000
524	632457	641776	2017-08-16T13:25:36.0000000
525	34827	605835	2017-08-16T13:25:33.0000000
526	639138	99443	2017-08-16T13:25:33.0000000
527	580688	379432	2017-08-16T13:25:22.0000000
528	131774	641864	2017-08-16T13:25:21.0000000
529	290332	636009	2017-08-16T13:25:19.0000000
530	580688	379432	2017-08-16T13:25:16.0000000
531	632457	608920	2017-08-16T13:25:06.0000000
532	99443	639138	2017-08-16T13:25:02.0000000
533	473746	641864	2017-08-16T13:24:51.0000000
534	641193	641864	2017-08-16T13:24:27.0000000
535	2	641899	2017-08-16T13:24:24.0000000
536	493646	641864	2017-08-16T13:24:23.0000000
537	443203	634354	2017-08-16T13:24:18.0000000
538	634468	631858	2017-08-16T13:24:08.0000000
539	493646	641776	2017-08-16T13:24:00.0000000
540	639138	99443	2017-08-16T13:23:58.0000000
541	580688	379432	2017-08-16T13:23:38.0000000
542	640278	640983	2017-08-16T13:23:37.0000000
543	47744	641864	2017-08-16T13:23:34.0000000
544	99443	639138	2017-08-16T13:23:31.0000000
545	47744	641864	2017-08-16T13:23:30.0000000
546	576003	509219	2017-08-16T13:23:27.0000000
547	637031	60147	2017-08-16T13:23:27.0000000
548	493646	567199	2017-08-16T13:23:27.0000000
549	576003	509219	2017-08-16T13:23:23.0000000
550	637031	60147	2017-08-16T13:23:17.0000000
551	576003	509219	2017-08-16T13:23:15.0000000
552	576003	509219	2017-08-16T13:23:11.0000000
553	637031	60147	2017-08-16T13:23:08.0000000
554	84056	629653	2017-08-16T13:23:03.0000000
555	640983	209530	2017-08-16T13:22:56.0000000
556	529430	639527	2017-08-16T13:22:53.0000000
